RowId;l1;InsertTime;Database;Schema;Table;row_count;reserved_MB;data_MB;index_size_MB;unused_MB;Flag_UltimoDiaMes;DifReserved_MB_MesAnterior;DifQtdLinhas_MesAnterior;DifReserved_MB_DiaAnterior;DifQtdLinhas_DiaAnterior;Limite_Atingido;Id_Tamanho;Id_Crescimento;Classificacao_PorTamanho;Classificacao_PorCrescimento;Objeto;MediaCrescimentoAnual_MBMes;MediaCrescimentoTrimestral_MBDia;MediaCrescimentoAnual_LinhaMes;MediaCrescimentoTrimestral_LinhaDia;Perc_Crescimento_MB_Mes;Perc_Crescimento_MB_Dia;Perc_Crescimento_Linhas_Mes;Perc_Crescimento_Linhas_Dia;Data_Inclusao
111339490;0 ;2025-08-31 19:00:00;Senior;dbo;r146emp;41;0;0;0;0;S;0;0;0;0;N;0;1;0 - Zero MB;1 - Sem alteração no tamanho e quantidade de linha;Senior.dbo.r146emp;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;2025-08-31
111339491;1 ;2025-08-31 19:00:00;Senior;dbo;r000wsu;224;0;0;0;0;S;0;0;0;0;N;0;1;0 - Zero MB;1 - Sem alteração no tamanho e quantidade de linha;Senior.dbo.r000wsu;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;2025-08-31
111339492;1 ;2025-08-31 19:00:00;Senior;dbo;r350aqu;0;0;0;0;0;S;0;0;0;0;N;0;0;0 - Zero MB;0 - Tabela Vazia;Senior.dbo.r350aqu;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;2025-08-31
111339493;0 ;2025-08-31 19:00:00;Senior;dbo;R047EXF;0;0;0;0;0;S;0;0;0;0;N;0;0;0 - Zero MB;0 - Tabela Vazia;Senior.dbo.R047EXF;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;2025-08-31
111339494;1 ;2025-08-31 19:00:00;Senior;dbo;r146per;15;0;0;0;0;S;0;0;0;0;N;0;1;0 - Zero MB;1 - Sem alteração no tamanho e quantidade de linha;Senior.dbo.r146per;0.0;0.0;0.08333333333333333;0.0;0.00;0.00;0.00;0.00;2025-08-31
111339495;1 ;2025-08-31 19:00:00;Senior;dbo;R001HDI;0;0;0;0;0;S;0;0;0;0;N;0;0;0 - Zero MB;0 - Tabela Vazia;Senior.dbo.R001HDI;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;2025-08-31
111339496;0 ;2025-08-31 19:00:00;Senior;dbo;r349iti;0;0;0;0;0;S;0;0;0;0;N;0;0;0 - Zero MB;0 - Tabela Vazia;Senior.dbo.r349iti;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;2025-08-31
111339497;1 ;2025-08-31 19:00:00;Senior;dbo;R047FEM;0;0;0;0;0;S;0;0;0;0;N;0;0;0 - Zero MB;0 - Tabela Vazia;Senior.dbo.R047FEM;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;2025-08-31
111339498;0 ;2025-08-31 19:00:00;Senior;dbo;R011PRR;0;0;0;0;0;S;0;0;0;0;N;0;0;0 - Zero MB;0 - Tabela Vazia;Senior.dbo.R011PRR;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;2025-08-31
111339499;1 ;2025-08-31 19:00:00;Senior;dbo;R003DTF;59;0;0;0;0;S;0;0;0;0;N;0;1;0 - Zero MB;1 - Sem alteração no tamanho e quantidade de linha;Senior.dbo.R003DTF;0.0;0.0;0.4166666666666667;0.0;0.00;0.00;0.00;0.00;2025-08-31
111339500;0 ;2025-08-31 19:00:00;Senior;dbo;r349ise;0;0;0;0;0;S;0;0;0;0;N;0;0;0 - Zero MB;0 - Tabela Vazia;Senior.dbo.r349ise;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;2025-08-31
111339501;0 ;2025-08-31 19:00:00;Senior;dbo;R047LFT;0;0;0;0;0;S;0;0;0;0;N;0;0;0 - Zero MB;0 - Tabela Vazia;Senior.dbo.R047LFT;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;2025-08-31
111339502;0 ;2025-08-31 19:00:00;Senior;dbo;R011SIT;2;0;0;0;0;S;0;0;0;0;N;0;1;0 - Zero MB;1 - Sem alteração no tamanho e quantidade de linha;Senior.dbo.R011SIT;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;2025-08-31
111339503;1 ;2025-08-31 19:00:00;Senior;dbo;r004fhf;0;0;0;0;0;S;0;0;0;0;N;0;0;0 - Zero MB;0 - Tabela Vazia;Senior.dbo.r004fhf;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;2025-08-31
111339504;1 ;2025-08-31 19:00:00;Senior;dbo;r349ird;0;0;0;0;0;S;0;0;0;0;N;0;0;0 - Zero MB;0 - Tabela Vazia;Senior.dbo.r349ird;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;2025-08-31
111339505;0 ;2025-08-31 19:00:00;Senior;dbo;R047NAT;0;0;0;0;0;S;0;0;0;0;N;0;0;0 - Zero MB;0 - Tabela Vazia;Senior.dbo.R047NAT;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;2025-08-31
111339506;0 ;2025-08-31 19:00:00;Senior;dbo;R012AGE;102;0;0;0;0;S;0;0;0;0;N;0;1;0 - Zero MB;1 - Sem alteração no tamanho e quantidade de linha;Senior.dbo.R012AGE;0.0;0.0;0.16666666666666666;0.0;0.00;0.00;0.00;0.00;2025-08-31
